loan_id,client_id,issue_date,age,gender,monthly_income,employment_type,work_experience_years,region,channel,loan_product,loan_amount,loan_term_months,interest_rate,monthly_payment,credit_score,existing_loans_count,dti_ratio,days_past_due,is_default,quarter,age_grp,high_dti,low_score,z_credit_score,z_dti_ratio,z_monthly_income,z_loan_amount,z_interest_rate,z_age,PD_hat,risk_segment,LGD,EL_loan,income_loan
1,16795,2023-05-01,59,M,86602.0,self_employed,34.1,Ural,branch,renovation,480000,48,17.1,13875.0,696.0,0,49.2,0,0,2023Q2,56+,0,0,0.8732369323484962,-0.5042722694228821,0.22303061764910273,0.29780691273801174,-0.28947422921780236,1.8440407092724624,0.03598442926532374,LOW,0.7,14983.945772386727,186000.0
2,1860,2023-02-23,27,F,45955.0,freelance,8.1,South,online,consumer,160000,6,19.7,28220.0,654.0,3,62.0,10,0,2023Q1,26-35,0,0,0.3143887609756817,0.3887526440740194,-1.0816849895420395,-0.9708866863016928,0.9073831283299681,-0.7803675568907756,0.1362118709501183,MEDIUM,0.7,21027.79353374929,9320.0
3,77820,2023-11-27,30,M,72578.0,freelance,11.2,SPb,online,renovation,470000,36,19.1,17252.0,588.0,4,77.7,203,1,2023Q4,26-35,1,0,-0.5638012226101695,1.484103514535063,-0.22712146430648017,0.258160237768021,0.6311852765881757,-0.534329281937972,0.48051688932749187,HIGH,0.7,171903.65682137833,0.0
4,55886,2023-08-29,27,M,68792.0,self_employed,7.7,Ural,partner,consumer,240000,36,20.1,8931.0,642.0,3,59.2,31,0,2023Q3,26-35,0,0,0.1547178548691633,0.19340344424657235,-0.34864711906145995,-0.6537132865417667,1.0915150294911649,-0.7803675568907756,0.13222819896558025,MEDIUM,0.7,31541.690300623934,81516.0
5,7265,2024-06-13,60,F,93397.0,freelance,40.4,Siberia,branch,consumer,280000,36,20.2,10434.0,582.0,2,63.2,179,1,2024Q2,56+,0,0,-0.6436366756634287,0.4724737297143541,0.441141242070679,-0.49512658666180365,1.1375480047814628,1.9260534675900636,0.29575877343003854,MEDIUM,0.7,36798.638684061254,0.0
6,83386,2024-04-27,36,M,93024.0,employed,17.6,SPb,online,renovation,450000,48,17.8,13172.0,595.0,0,55.6,13,0,2024Q2,36-45,0,0,-0.47065986071470045,-0.05775981267443132,0.4291684292805027,0.17886688782803944,0.03275659781428963,-0.04225273203236492,0.1510788292997358,MEDIUM,0.7,59140.669313669874,182256.0
7,38194,2023-07-06,30,M,61266.0,employed,11.2,South,online,consumer,170000,60,20.5,4551.0,549.0,5,58.9,10,0,2023Q3,26-35,0,1,-1.0827316674563543,0.17247317283648841,-0.5902218886562772,-0.9312400113317021,1.2756469306523597,-0.534329281937972,0.29783523080098684,MEDIUM,0.7,22342.03062960862,103060.0
8,88498,2024-10-17,29,M,72605.0,employed,4.8,SPb,online,consumer,300000,36,18.2,10876.0,671.0,0,60.2,13,0,2024Q4,26-35,0,0,0.5405892112932494,0.2631710156135178,-0.2262547995736792,-0.4158332367218221,0.2168884989754846,-0.6163420402555733,0.08530530498464566,LOW,0.7,9364.966107741706,91536.0
9,45131,2023-09-19,26,M,47367.0,self_employed,5.5,South,online,education,180000,48,17.7,5259.0,573.0,1,65.3,25,0,2023Q3,26-35,1,1,-0.7633898552433176,0.6189856295849391,-1.0363616338859296,-0.8915933363617113,-0.013276377476009934,-0.8623803152083768,0.35861680965624576,HIGH,0.7,65835.44303797469,72432.0
10,61263,2023-12-30,64,M,179385.0,employed,45.0,Moscow,branch,car,910000,60,15.0,21649.0,680.0,2,84.4,2,0,2023Q4,56+,1,0,0.6603423908731383,1.9515462426935974,3.2012437251851016,2.0026139364476148,-1.2561667103140801,2.2541045008604685,0.26451445520615197,MEDIUM,0.45,76882.87010777085,388940.0
